text,text_clean,auto_label
Вещь только на маленькую грудь. Никакой второй размер туда не поместится и ничего не держит. Может служить только в качестве накладки для тех у кого на теле минимум.,вещь только на маленькую грудь. никакой второй размер туда не поместится и ничего не держит. может служить только в качестве накладки для тех у кого на теле минимум.,одежда
"Пипец! Заказал xl, а пришёл хз знает какой, я думаю 42если не меньше! Жесть!!!!!","пипец! заказал xl, а пришёл хз знает какой, я думаю 42если не меньше! жесть!!!!!",обувь
"Пижама не доехала, застряла в Китае, по истечении 2.5 месяцев поняла что её потеряли. Деньги вернули быстро в течении недели","пижама не доехала, застряла в китае, по истечении 2.5 месяцев поняла что её потеряли. деньги вернули быстро в течении недели",одежда
"Размер только на ог/от/об 89/73/96, плечо 37, рост 164. Тогда как на фото продавца. На размер более получатся в обтяг, она конечно тянется, но это просто ужасно.","размер только на ог/от/об 89/73/96, плечо 37, рост 164. тогда как на фото продавца. на размер более получатся в обтяг, она конечно тянется, но это просто ужасно.",одежда
If you order in the dimensional table set one size in my parameters. And came one size smaller. Jacket small to me.,if you order in the dimensional table set one size in my parameters. and came one size smaller. jacket small to me.,одежда
"Маленькие, размер не соответствует","маленькие, размер не соответствует",одежда
"Платье пришло с зацепкой спереди, на видном месте((( очень жаль, носить не смогу","платье пришло с зацепкой спереди, на видном месте((( очень жаль, носить не смогу",одежда
Пришли уже в полинявшем состоянии...носить невозможно,пришли уже в полинявшем состоянии...носить невозможно,обувь
"колготки очень понравились, но пришли с браком.... пришлось открыть спор","колготки очень понравились, но пришли с браком.... пришлось открыть спор",одежда
"ткань - синтетика среднего качества, размерная сетка не соответствует действительности. Нитки не торчат. не пахнет. В общем за такие деньги более менее.. рекомендую брать на размер побольше.","ткань - синтетика среднего качества, размерная сетка не соответствует действительности. нитки не торчат. не пахнет. в общем за такие деньги более менее.. рекомендую брать на размер побольше.",одежда
"Хорошие, плотные носки, прекрасно подошли на размер 39-40. Ребенок доволен. Рекомендую. Спасибо.","хорошие, плотные носки, прекрасно подошли на размер 39-40. ребенок доволен. рекомендую. спасибо.",обувь
"все пришло супер,быстро,качество класс,рекомендую","все пришло супер,быстро,качество класс,рекомендую",одежда
"Размер не соответсвует ,немного не тот цвет,рассчитан для девочек лет 10-12","размер не соответсвует ,немного не тот цвет,рассчитан для девочек лет 10-12",товары для детей
Ужасная синтетика! Расстроилась. Размер наверно 48-50. Своих денег не стоит вообще! Хотела даже спор открыть,ужасная синтетика! расстроилась. размер наверно 48-50. своих денег не стоит вообще! хотела даже спор открыть,обувь
"Товар заказывала в апреле,до августа так и не пришёл,деньги продавец вернуть отказался.Не рекомендую","товар заказывала в апреле,до августа так и не пришёл,деньги продавец вернуть отказался.не рекомендую",нет товара
материал не такой плотный и теплый.но мягкий.  для летних вечеров самый раз,материал не такой плотный и теплый.но мягкий.  для летних вечеров самый раз,текстиль
"К сожалению, платье  не соответствует фотографии и описанию, на которой представлено платье. Размер «S»  очень сильно велик в талии, в плечах. Рукава сильно короткие. Длина платье, не то, что мини, а минимини.","к сожалению, платье  не соответствует фотографии и описанию, на которой представлено платье. размер «s»  очень сильно велик в талии, в плечах. рукава сильно короткие. длина платье, не то, что мини, а минимини.",одежда
размер маленький на 2 раза больше надо заказать,размер маленький на 2 раза больше надо заказать,одежда
"хорошая качественная рубашка, по размеру в целом подошла (немого только расходится в груди, но на мне все рубашки так сидят), доставка в Тулу 3 недели. Запаха нет.","хорошая качественная рубашка, по размеру в целом подошла (немого только расходится в груди, но на мне все рубашки так сидят), доставка в тулу 3 недели. запаха нет.",одежда
к сожалению товар я не получила,к сожалению товар я не получила,нет товара
"Супер,  очень нравится !","супер,  очень нравится !",нет товара
Отличная рубашка! На 50-52 надо 4xl,отличная рубашка! на 50-52 надо 4xl,одежда
"Товар понравился полностью соответствует описанию.  К телу приятные, пришли за две недели.","товар понравился полностью соответствует описанию.  к телу приятные, пришли за две недели.",одежда
товар не пришел. деньги вернули. продовец очень общительный,товар не пришел. деньги вернули. продовец очень общительный,нет товара
"Приятная,мягкая.Полоски яркие. На 42-44  М-ка хорошо и даже рукава не коротки.","приятная,мягкая.полоски яркие. на 42-44  м-ка хорошо и даже рукава не коротки.",одежда
"Свой заказ я так и не получила, но спасибо за возврат денег.","свой заказ я так и не получила, но спасибо за возврат денег.",нет товара
"Заказала 2 кофты, красную и розовую. Розовая оказалась больше и цвет не как на фото. Ядерно розовый. Как у барби. ","заказала 2 кофты, красную и розовую. розовая оказалась больше и цвет не как на фото. ядерно розовый. как у барби.",одежда
заказали ххл но он подошёл на 40- 42 на вес 51 рост 161 шел месяцев отслеживается качество хорошее с хлопком плотный не прилипает грязь,заказали ххл но он подошёл на 40- 42 на вес 51 рост 161 шел месяцев отслеживается качество хорошее с хлопком плотный не прилипает грязь,обувь
отличная футболка! качество хорошее. быстрая доставка. спасибо продавцу!,отличная футболка! качество хорошее. быстрая доставка. спасибо продавцу!,одежда
"УЖАСНАЯ КОФТА. ЖДАЛА ОЧЕНЬ ДОЛГО,ТАК МНЕ ЕЩЕ И ДЕНЬГИ НЕ ВЕРНУЛИ!! кофта мала,и качество как половая тряпка","ужасная кофта. ждала очень долго,так мне еще и деньги не вернули!! кофта мала,и качество как половая тряпка",одежда
"Толстовка так себе, молния металическая дешёвая, желтая, не как на фото, от этого вид хуже.сшита неплохо, но верх блестящая синтетика, быстро покрывающаяся каташками(пошла на дачу(","толстовка так себе, молния металическая дешёвая, желтая, не как на фото, от этого вид хуже.сшита неплохо, но верх блестящая синтетика, быстро покрывающаяся каташками(пошла на дачу(",одежда
Пришло совсем не то что заказывали,пришло совсем не то что заказывали,нет товара
"Посылка не дошла, деньги вернули. ","посылка не дошла, деньги вернули.",нет товара
"Размер 3XL  на 46-48. На меня мало. Не соответствует фото. В реальности спереди подол короче сантиметров на 10, рукава без отворотов, ткань полусинтетика.","размер 3xl  на 46-48. на меня мало. не соответствует фото. в реальности спереди подол короче сантиметров на 10, рукава без отворотов, ткань полусинтетика.",одежда
"Размер не соответствует, очень маленький, на подростка","размер не соответствует, очень маленький, на подростка",одежда
"Заказала пришёл другой цвет, плохого качества, не такое как на фотографии!!!Первый раз заказывала и не удачно ","заказала пришёл другой цвет, плохого качества, не такое как на фотографии!!!первый раз заказывала и не удачно",обувь
"Хорошая, тёплая толстовка! Размер на худенького подростка), моему ребёнку 13 лет, село в самый раз. Спасибо за быструю доставку и подарочек, очень приятно!","хорошая, тёплая толстовка! размер на худенького подростка), моему ребёнку 13 лет, село в самый раз. спасибо за быструю доставку и подарочек, очень приятно!",одежда
"качество пуховика не плохое, но смутили пятна не понятного происхождения","качество пуховика не плохое, но смутили пятна не понятного происхождения",нет товара
"по итогу,заказ не получила.Открыла спор,который борианули со всеми моими претензиями.Почта России похерила или с номером отслеживания какая то беда...","по итогу,заказ не получила.открыла спор,который борианули со всеми моими претензиями.почта россии похерила или с номером отслеживания какая то беда...",нет товара
"Яркое, красивое, классное. Рекомендую.","яркое, красивое, классное. рекомендую.",нет товара
"Размер не соответствует, сильно маломерит. Заказала S, а нужно было М, а может даже  L. Написала продавцу, даже не ответил.","размер не соответствует, сильно маломерит. заказала s, а нужно было м, а может даже  l. написала продавцу, даже не ответил.",обувь
вместо шорт продавец прислал какую-то хрень,вместо шорт продавец прислал какую-то хрень,обувь
"Кофта не на долгую носку.После стирки качество ооочень испортилось! 
А так симпатичная, хорошо смотрится!","кофта не на долгую носку.после стирки качество ооочень испортилось! а так симпатичная, хорошо смотрится!",одежда
очень  лёгкая но не просвечивает  к телу  приятно  смотрится супер размер  соответствует действительности на 42 брала  s,очень  лёгкая но не просвечивает  к телу  приятно  смотрится супер размер  соответствует действительности на 42 брала  s,обувь
заказ не пришел. деньги вернули через 4 месяца.,заказ не пришел. деньги вернули через 4 месяца.,нет товара
"товар не пришел 2 месяца ждала, на сообщение не отвечают, деньги не вернули","товар не пришел 2 месяца ждала, на сообщение не отвечают, деньги не вернули",нет товара
"ужасный товар , не кому не советую, даже дома стыдно одевать","ужасный товар , не кому не советую, даже дома стыдно одевать",одежда
"На фото более толстая вязка, на самом деле тонкий трикотаж. Разочарована. Покупать не советую.","на фото более толстая вязка, на самом деле тонкий трикотаж. разочарована. покупать не советую.",одежда
Все хорошо,все хорошо,нет товара
"Доставка быстрая и курьером до двери, что очень порадовало, материал хороший натуральный ","доставка быстрая и курьером до двери, что очень порадовало, материал хороший натуральный",нет товара
"Товар пришёл быстро,продавец хороший. по качеству товар не очень хороший,после первой носки стал скатываться!это очень расстроило меня.цена приличная, а качество плохое!","товар пришёл быстро,продавец хороший. по качеству товар не очень хороший,после первой носки стал скатываться!это очень расстроило меня.цена приличная, а качество плохое!",обувь
пришли с браком,пришли с браком,нет товара
"это просто ужас! по совету продавца на свой русский S заказала размер M и я в нем утонула. боди ОЧЕНЬ большое, не подошло. я очень расстроена. отдала маме, на ней еще более менее. товар не рекомендую!","это просто ужас! по совету продавца на свой русский s заказала размер m и я в нем утонула. боди очень большое, не подошло. я очень расстроена. отдала маме, на ней еще более менее. товар не рекомендую!",одежда
"неплохая близка, но просвечивает","неплохая близка, но просвечивает",нет товара
"не подошёл по размеру, верх сел идеально, а низ узкий и короткий, больше ни чего из одежды заказывать не буду","не подошёл по размеру, верх сел идеально, а низ узкий и короткий, больше ни чего из одежды заказывать не буду",одежда
Маломерят. Рукава и длина оказались коротки,маломерят. рукава и длина оказались коротки,одежда
"Качество ткани очень неожиданное...неожиданно хлюпенькое... Рисунок с размытыми контурами, не яркий... В общем странная вещица, скорее более дачный вариант. Очень жаль, очень нравилась по описанию и картинке","качество ткани очень неожиданное...неожиданно хлюпенькое... рисунок с размытыми контурами, не яркий... в общем странная вещица, скорее более дачный вариант. очень жаль, очень нравилась по описанию и картинке",одежда
размеры не соответствуют разница 6-10 см.,размеры не соответствуют разница 6-10 см.,одежда
"Платье пришло с дыркой. Продавец просил не открывать спор, но ничего не предлагал и тянул время. Спор открыла, деньги вернули. Если бы не дыра на видном месте, то платье классное. ","платье пришло с дыркой. продавец просил не открывать спор, но ничего не предлагал и тянул время. спор открыла, деньги вернули. если бы не дыра на видном месте, то платье классное.",одежда
"К сожалению куртка пришла маленького размер, на мой 44 L не подошёл, очень расстроена!","к сожалению куртка пришла маленького размер, на мой 44 l не подошёл, очень расстроена!",одежда
Размер совсем не такой очень мал в плечах написал продавцу ответил что сожалеет и всё не советую ни продовца ни тавар не берите.,размер совсем не такой очень мал в плечах написал продавцу ответил что сожалеет и всё не советую ни продовца ни тавар не берите.,обувь
"Цвет и размер соответствует описанию. ОГ 92, рост 164 - размер L, подошел идеально. Оплатила 11.11.2017 -01.12.2017 получила на почте. Брала за 630 рублей. Магазин рекомендую как надежный.","цвет и размер соответствует описанию. ог 92, рост 164 - размер l, подошел идеально. оплатила 11.11.2017 -01.12.2017 получила на почте. брала за 630 рублей. магазин рекомендую как надежный.",одежда
"платье хорошее,но длина подола не соответствует(","платье хорошее,но длина подола не соответствует(",одежда
"Бракованная, пришло с дырочкой","бракованная, пришло с дырочкой",обувь
"Я не длинная. Платье очень короткое, еле прикрывает ""то самое место"". Носить не буду.","я не длинная. платье очень короткое, еле прикрывает то самое место. носить не буду.",одежда
"Начиталась отзывов и поверила. А зря. На свои объемы - объем груди 89, объем талии 65, выбрала размер L, он мне велик. Лучше бы взяла м.","начиталась отзывов и поверила. а зря. на свои объемы - объем груди 89, объем талии 65, выбрала размер l, он мне велик. лучше бы взяла м.",одежда
"хорошая блузка,села как на картинке, брала xl на объём груди 90, рост 164, (вес 57 если кому то нужно) продавца рекомендую","хорошая блузка,села как на картинке, брала xl на объём груди 90, рост 164, (вес 57 если кому то нужно) продавца рекомендую",одежда
"Блузка шла меньше месяца в Челябинскую область. Ткань тонкая, просвечивает. Так же обнаружила что один рукав криво пришит. Но чего было ожидать за 280 рублей.","блузка шла меньше месяца в челябинскую область. ткань тонкая, просвечивает. так же обнаружила что один рукав криво пришит. но чего было ожидать за 280 рублей.",одежда
талия очень завышена и широкая. надо будет ушить и в груди побокам торчит . ткань тянется. в целом пойдет,талия очень завышена и широкая. надо будет ушить и в груди побокам торчит . ткань тянется. в целом пойдет,одежда
"пижама шла в Приморье 65 дней, большая по размеру , качество нормальное","пижама шла в приморье 65 дней, большая по размеру , качество нормальное",одежда
кофточка не плохая долго шла только.ну рукава коротковаты. не соответствуют этому размеру.должны бы быть подлиннее,кофточка не плохая долго шла только.ну рукава коротковаты. не соответствуют этому размеру.должны бы быть подлиннее,одежда
"спасибо. кофта отличная. приятная к телу, внутри типа нежного флиса. пришла быстро. на свой 42-44 , взяла L, так она свободная, не в обтяжку, но плечам хорошо (плечи 36/37). очень довольна. рекомендую.","спасибо. кофта отличная. приятная к телу, внутри типа нежного флиса. пришла быстро. на свой 42-44 , взяла l, так она свободная, не в обтяжку, но плечам хорошо (плечи 36/37). очень довольна. рекомендую.",одежда
"Рубашка не аккуратная, разлезлись швы после первой носки, запах не выветрился после 3 стирок","рубашка не аккуратная, разлезлись швы после первой носки, запах не выветрился после 3 стирок",одежда
"хорошая рубашка, мой рост 168, вес 64, брала xl, в самый раз. качество неплохое, к телу приятная, цвет яркий. за такую цену отлично, ожидала худшего","хорошая рубашка, мой рост 168, вес 64, брала xl, в самый раз. качество неплохое, к телу приятная, цвет яркий. за такую цену отлично, ожидала худшего",одежда
"Сшит хорошо, но материал - голимая синтетика","сшит хорошо, но материал - голимая синтетика",текстиль
"по длинне очень короткое, быстрее тупика чем платье...","по длинне очень короткое, быстрее тупика чем платье...",одежда
"Ну так себе, на самом деле он и стоит своих денег, носить не буду ","ну так себе, на самом деле он и стоит своих денег, носить не буду",одежда
"на 42-44 можно смело заказывать xs, качество хорошее","на 42-44 можно смело заказывать xs, качество хорошее",обувь
"Сшита очень плохо. Рукава короткие, плечи тоже. Везде торчат нитки","сшита очень плохо. рукава короткие, плечи тоже. везде торчат нитки",одежда
"Очень хорошие штанишки, трикотаж прямо бархатный, СПАСИБО","очень хорошие штанишки, трикотаж прямо бархатный, спасибо",одежда
"штаны хорошие для тех кто любит на резинке (я не люблю) беру маме. коротки для 170,норм для 165","штаны хорошие для тех кто любит на резинке (я не люблю) беру маме. коротки для 170,норм для 165",обувь
"excellent,thank you","excellent,thank you",нет товара
товар не пришло . деньги вернулись.,товар не пришло . деньги вернулись.,нет товара
"На фото выглядят как брючки, по факту и цвет и качество не похожи, сидит не очень, сползают - собираются,","на фото выглядят как брючки, по факту и цвет и качество не похожи, сидит не очень, сползают - собираются,",одежда
"товар пришел быстро. качество нормальное,материал только тоненький у шорт. а так все супер. спасибо","товар пришел быстро. качество нормальное,материал только тоненький у шорт. а так все супер. спасибо",обувь
"Заказ пришел, но на картинке белый цвет а на самом деле серая кофта. Размер тоже не подошел, хотя я такие вещи покупаю по тому размеру который заказывала. На вид по картинке длинее чем кажется, на самом деле короткая.","заказ пришел, но на картинке белый цвет а на самом деле серая кофта. размер тоже не подошел, хотя я такие вещи покупаю по тому размеру который заказывала. на вид по картинке длинее чем кажется, на самом деле короткая.",одежда
"В Пермь пришел за 9 дней. Но куртка вся кривая косая, плечи узкие, в бедрах огромная. Носить вряд ли буду","в пермь пришел за 9 дней. но куртка вся кривая косая, плечи узкие, в бедрах огромная. носить вряд ли буду",одежда
"Сорочка замечательная. Очень аккуратно сшита, никаких перекосов в крое. Брала самый большой размер для использования в качестве чехла под длинное шифоновое платье. Очень довольна заказом. Рекомендую к покупке.","сорочка замечательная. очень аккуратно сшита, никаких перекосов в крое. брала самый большой размер для использования в качестве чехла под длинное шифоновое платье. очень довольна заказом. рекомендую к покупке.",одежда
товар отправили не на тот адрес. но деньги вернули,товар отправили не на тот адрес. но деньги вернули,нет товара
"Отличаются  от такой же модели синего цвета, при том, что заказывала одновременно. Все липнет, на ощупь как бумажные какие-то, тянутся сложнее.","отличаются  от такой же модели синего цвета, при том, что заказывала одновременно. все липнет, на ощупь как бумажные какие-то, тянутся сложнее.",нет товара
"не скажу,  что блузка хороша, ткань непонятная, подкладка - прозрачная синтетика, кружево жесткое, отделка рукавов оставляет желать лучшего. На 96-78-102 тесновато в груди и в рукавах.","не скажу,  что блузка хороша, ткань непонятная, подкладка - прозрачная синтетика, кружево жесткое, отделка рукавов оставляет желать лучшего. на 96-78-102 тесновато в груди и в рукавах.",одежда
зачем заказала? ужасно. все в затяжках,зачем заказала? ужасно. все в затяжках,нет товара
"доставка очень медленная, размерная сетка не соответсвует, на размер 50-52 5XL малы, на рост 170 длина до щиколотки","доставка очень медленная, размерная сетка не соответсвует, на размер 50-52 5xl малы, на рост 170 длина до щиколотки",одежда
"Футболка нормальная, размер подошел.","футболка нормальная, размер подошел.",одежда
"все нормально, хорошая ткань, рекомендую","все нормально, хорошая ткань, рекомендую",одежда
"На фото смотрится гораздо лучше, чем на самом деле. Ткань очень тонкая, вся просвечивается.","на фото смотрится гораздо лучше, чем на самом деле. ткань очень тонкая, вся просвечивается.",текстиль
"Ужасная кофта. Не рекомендую. Маленькая, висит как тряпка.","ужасная кофта. не рекомендую. маленькая, висит как тряпка.",одежда
"Обманули. Товар ждала с конца марта!!!!!! Кошмар. Товар так и не пришёл, продавец просил подождать, я открыла спор. Продавец отказался отдавать деньги. Я открыла повторный спор, деньги мне так и не вернули!!!!!!!","обманули. товар ждала с конца марта!!!!!! кошмар. товар так и не пришёл, продавец просил подождать, я открыла спор. продавец отказался отдавать деньги. я открыла повторный спор, деньги мне так и не вернули!!!!!!!",нет товара
"Все трусики разного размера, получила всю размерную сетку. Шли 2 месяца. Разочарование. Подошли только 1 из 5.","все трусики разного размера, получила всю размерную сетку. шли 2 месяца. разочарование. подошли только 1 из 5.",одежда
"Хорошая куртка. Спасибо продавцу за подарочек! На российский 46 размер xl  сел идеально, при весе 57кг. Буду заказывать ещё.","хорошая куртка. спасибо продавцу за подарочек! на российский 46 размер xl  сел идеально, при весе 57кг. буду заказывать ещё.",одежда
на ветрозащитной планке нет кнопок отсутствуют пуговицы чтобы пристегивать подклад. без теплого подклада это кусочек ткани даже нет синтепона. три звезды только за то что заказ доехал,на ветрозащитной планке нет кнопок отсутствуют пуговицы чтобы пристегивать подклад. без теплого подклада это кусочек ткани даже нет синтепона. три звезды только за то что заказ доехал,обувь
"Товар так и не пришел, прождал больше двух месяцев","товар так и не пришел, прождал больше двух месяцев",нет товара
"свой заказ так и не получила!!! а этот недобросовестный продавец взял и закрыл его!!! и теперь ни денег,ни заказа!!!","свой заказ так и не получила!!! а этот недобросовестный продавец взял и закрыл его!!! и теперь ни денег,ни заказа!!!",нет товара
вообще не соответствует размеру. очень сильно маленькие как на ребенка,вообще не соответствует размеру. очень сильно маленькие как на ребенка,одежда
заказ ждала 2 месяца он не разу отслеживается.но он не пришел.продавец вернул деньги,заказ ждала 2 месяца он не разу отслеживается.но он не пришел.продавец вернул деньги,нет товара
"Горловина блузки кривая,  рукав подшит криво,","горловина блузки кривая,  рукав подшит криво,",одежда
очень много ниток,очень много ниток,текстиль
На рукавах резинка не тянется. Ворот короткий. Карманы разного размера и маленькие. Очень тонкая. Мне она было слишком свободна.,на рукавах резинка не тянется. ворот короткий. карманы разного размера и маленькие. очень тонкая. мне она было слишком свободна.,одежда
"очень ждала юбку,долго не отправляли,но это все мелочи,получила в течение месяца,с продавцом не общалась.Качество говно полное,сшито из какой-то прозрачной тюли,носить такое нельзя.Я очень разочарована((((","очень ждала юбку,долго не отправляли,но это все мелочи,получила в течение месяца,с продавцом не общалась.качество говно полное,сшито из какой-то прозрачной тюли,носить такое нельзя.я очень разочарована((((",одежда
"Отличное качество, очень мягкий","отличное качество, очень мягкий",одежда
Рекомендую.,рекомендую.,нет товара
заказала 8.08. пришла 06.09. на мои ог 90 от 75 об 100 L в самый раз. рукав на тонкую руку. перешивала пуговицы. блузкой очень довольна.,заказала 8.08. пришла 06.09. на мои ог 90 от 75 об 100 l в самый раз. рукав на тонкую руку. перешивала пуговицы. блузкой очень довольна.,одежда
"платье получила...не то
 что ожидала(ткань тоненькая,просвечивает,замок нашит прям так сверху....то бишь взяли обычную молию и прифигачили так, в общем не оденешь((((","платье получила...не то что ожидала(ткань тоненькая,просвечивает,замок нашит прям так сверху....то бишь взяли обычную молию и прифигачили так, в общем не оденешь((((",одежда
"Это не зимняя парка, да и мех линяет","это не зимняя парка, да и мех линяет",нет товара
Очень коротко,очень коротко,нет товара
"соответствует описанию,доставка 2 недели во владимирскую область. спасибо.","соответствует описанию,доставка 2 недели во владимирскую область. спасибо.",нет товара
"Доставка не более 3 недель до Москвы,топ не плохой,единственное короткий))но под брюки с завышенной талией или юбку,будет не плохо!","доставка не более 3 недель до москвы,топ не плохой,единственное короткий))но под брюки с завышенной талией или юбку,будет не плохо!",обувь
"Все бы ни чего, и качество ткани и швы, но на брюках при распаковке обнаружилось пятно вывески которое к сожалению ни чем не удалось( носить не смогу( ","все бы ни чего, и качество ткани и швы, но на брюках при распаковке обнаружилось пятно вывески которое к сожалению ни чем не удалось( носить не смогу(",одежда
ужасно маленький размер... И качество ..если за такие деньги с качеством я соглашусь..то размер....отвратительно!!!,ужасно маленький размер... и качество ..если за такие деньги с качеством я соглашусь..то размер....отвратительно!!!,обувь
"Блузка низкого качества. Материал синтетика и в ней очень жарко. Но самое главное, что на спине топорщится в районе талии. Даже если заправляешь под юбку или брюки, то все равно остаётся пузырь (( Носить, к сожалению, не буду ","блузка низкого качества. материал синтетика и в ней очень жарко. но самое главное, что на спине топорщится в районе талии. даже если заправляешь под юбку или брюки, то все равно остаётся пузырь (( носить, к сожалению, не буду",одежда
Товар хорошего качества. Пришёл за 4 недели. ,товар хорошего качества. пришёл за 4 недели.,нет товара
"Я очень не довольна товар пришел не качественный, на фото видно! Продовец на протяжениии 30 дней обещал вернуть деньги, тянул до последнего, но так и ни чего и не зделал! Магазин не советую!!!!!!","я очень не довольна товар пришел не качественный, на фото видно! продовец на протяжениии 30 дней обещал вернуть деньги, тянул до последнего, но так и ни чего и не зделал! магазин не советую!!!!!!",нет товара
"Куртка классная ! Как раз на осень ! Цвет приятный ! Нитки не торчат , быстрая доставка . Спасибо продавцу за подарок ","куртка классная ! как раз на осень ! цвет приятный ! нитки не торчат , быстрая доставка . спасибо продавцу за подарок",одежда
